KalmanPitch,KalmanYaw,LinearAccelMag,TotalAccelMag,GyroMag,lat,lng,kecepatan,sat,throttle,arus,millis
6.62,-9.55,0.66,9.84,0.68,-6.910305,107.675438,0.15,12,0,6.10,687978
6.58,-9.45,0.66,9.79,0.30,-6.910305,107.675438,0.15,12,0,7.63,688187
6.60,-9.52,0.69,9.84,0.98,-6.910305,107.675438,0.09,12,0,9.16,688394
6.55,-9.29,0.60,9.84,0.51,-6.910305,107.675438,0.13,12,0,9.16,688601
6.55,-9.31,0.66,9.90,0.76,-6.910305,107.675438,0.07,12,0,9.16,688809
6.55,-9.32,0.68,9.84,0.88,-6.910305,107.675438,0.17,12,0,9.16,689016
6.56,-9.37,0.64,9.85,1.01,-6.910305,107.675438,0.17,12,0,9.16,689223
6.57,-9.35,0.57,9.84,0.70,-6.910305,107.675438,0.07,12,0,9.16,689430
6.56,-9.38,0.66,9.87,0.78,-6.910305,107.675438,0.06,12,0,9.16,689639
6.59,-9.44,0.67,9.85,0.99,-6.910304,107.675438,0.22,12,0,9.16,689846
6.57,-9.46,0.65,9.85,0.83,-6.910304,107.675438,0.19,12,0,10.68,690053
6.60,-9.47,0.56,9.84,0.87,-6.910304,107.675438,0.20,12,0,9.16,690260
6.60,-9.48,0.68,9.86,0.77,-6.910304,107.675438,0.20,12,0,12.21,690467
6.61,-9.49,0.64,9.85,0.75,-6.910304,107.675438,0.17,12,0,9.16,690675
6.60,-9.52,0.62,9.79,0.85,-6.910304,107.675438,0.11,12,0,9.16,690882
6.60,-9.62,0.72,9.85,1.18,-6.910304,107.675438,0.11,12,0,9.16,691092
6.61,-9.66,0.68,9.91,0.99,-6.910304,107.675438,0.15,12,0,7.63,691300
6.60,-9.66,0.63,9.86,0.72,-6.910304,107.675438,0.26,12,0,10.68,691507
6.60,-9.78,0.65,9.93,1.23,-6.910304,107.675438,0.37,12,0,7.63,691714
6.63,-9.75,0.59,9.94,0.71,-6.910304,107.675438,0.43,12,0,7.63,691921
6.62,-9.74,0.66,9.84,0.77,-6.910304,107.675438,0.17,12,0,9.16,692128
6.60,-9.72,0.63,9.84,0.63,-6.910304,107.675438,0.24,12,0,9.16,692335
6.59,-9.76,0.68,9.83,0.91,-6.910304,107.675438,0.30,12,0,10.68,692544
6.58,-9.77,0.60,9.85,0.76,-6.910304,107.675438,0.28,12,0,7.63,692751
6.56,-9.80,0.62,9.86,0.87,-6.910304,107.675438,0.07,12,0,9.16,692958
6.56,-9.80,0.59,9.94,0.81,-6.910304,107.675438,0.28,12,0,9.16,693165
6.56,-9.88,0.51,9.82,1.12,-6.910304,107.675438,0.28,12,0,6.10,693372
6.59,-9.87,0.63,9.82,0.80,-6.910304,107.675438,0.17,12,0,10.68,693579
